sampno,vehno,vehicle_num,veh_year,veh_make,veh_model,fuel,veh_type,fcev_mile_week,fcev_mile_month,fcev_refuel_week,fcev_refuel_month,fcev_refuel_when_1_x,fcev_refuel_when_2_x,fcev_refuel_time,fcev_refuel_wait,fcev_refuel_locations,fcev_refuel_routine,fcev_refuel_routine_4_x,fcev_refuel_distance_1_x,fcev_refuel_distance_2_x,fcev_station_convenience_1,fcev_station_convenience_2,fcev_station_convenience_3,fcev_alternative,fcev_alternative_times_year,fcev_alternative_times_month,fcev_alternative_mode_1,fcev_alternative_mode_2,fcev_alternative_mode_3,fcev_alternative_mode_4,fcev_alternative_mode_5,fcev_alternative_mode_6,fcev_alternative_mode_7,fcev_alternative_mode_8,fcev_alternative_mode_9,fcev_alternative_mode_10,fcev_alternative_mode_11,fcev_alternative_mode_12,fcev_alternative_mode_12_x,fcev_convenience,fcev_pay,fcev_fuel_cost_week,fcev_fuel_cost_month,fcev_compare_cost,fcev_cost_importance,fcev_incentives_1,fcev_incentives_2,fcev_incentives_3,fcev_incentives_4,fcev_incentives_5,fcev_incentives_6,fcev_incentives_7,fcev_incentives_8,fcev_experience,fcev_recommend,fcev_confidence,fcev_confidence_4_x
190331,190331.v01,1,2017,HONDA,REDACTED,6,3,250, ,2, , ,100,3,4,3,3, ,6, ,1,1,0,1,2, ,1,0,0,0,0,1,0,0,0,0,0,1,Carpool with co-worker,3,4, , ,5,5,6,4,6,5,5,7,3,5,6,5, , 
190339,190339.v01,1,2017,HONDA,,6,3,120, ,2, ,65, ,3,3,2,1, ,21, ,1,1,0,1,1, ,1,0,0,0,0,0,0,0,0,0,0,0, ,4,4, , ,5,4,5,5,5,4,5,7,5,5,4,3, , 
190341,190341.v01,1,2017,HONDA,,6,3, ,600,1, , ,80,5,2,2,2, , ,25,0,0,1,1,3, ,0,1,0,0,0,0,0,0,0,0,1,0, ,4,4, , ,4,1,7,5,7,5,4,6,3,4,5,4, , 
190345,190345.v01,1,2018,HONDA,,6,3,480, , ,6, ,50,5,3,3,1, ,35, ,0,0,1,2, , , , , , , , , , , , , , , ,3,4, , ,5,5,6,5,6,5,5,1,2,2,7,5, , 
190119,190119.v01,1,2017,TOYOTA,,6,1,150, ,1, ,50, ,5,3,2,2, , ,10,1,0,0,1,2, ,0,1,0,1,0,0,0,0,0,0,0,0, ,3,4, , ,5,5,4,4,6,5,5,7,7,4,5,4, , 
190121,190121.v01,1,2018,TOYOTA,,6,1,150, ,1, , ,60,5,3,1, , ,1, ,1,0,0,2, , , , , , , , , , , , , , , ,3,4, , ,1,2,7,4,7,4,4,7,2,7,4,4,1, 
190125,190125.v01,1,2017,TOYOTA,,6,1, ,800,1, , ,50,10,3,3,1, ,7, ,0,0,1,1,2, ,1,1,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,5,1,5,5,5,5,1,3,5,3,2,1, 
190133,190133.v03,3,2017,TOYOTA,,6,1,270, ,1, , ,50,4,3,4,2, ,12, ,0,0,1,2, , , , , , , , , , , , , , , ,5,2,50, ,5,3,4,4,4,4,4,1,4,4,5,5, , 
190134,190134.v02,2,2017,HONDA,,6,3,150, ,1, ,25, ,6,3,3,2, ,5, ,0,1,0,1,4, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,3,7,5,7,6,5,7,3,5,3,1,1, 
190137,190137.v01,1,2018,TOYOTA,,6,1,400, ,2, , ,30,4,3,3,2, ,3, ,1,0,0,2, , , , , , , , , , , , , , , ,4,4, , ,4,3,7,4,4,7,4,7,7,5,4,3, , 
190142,190142.v01,1,2016,TOYOTA,,6,1,50, , ,2,50, ,10,4,2,1, , ,12,1,0,0,1,1, ,0,0,0,0,0,0,0,0,0,0,0,1,Supplied by the dealership I lease my vehicle from,1,4, , ,3,4,4,4,7,5,5,7,4,1,7,5, , 
190146,190146.v01,1,2017,TOYOTA,,6,1,337, ,2, , ,100,5,4,1, , ,10, ,1,0,0,1,3, ,1,1,0,0,0,0,1,0,0,0,0,0, ,5,4, , ,5,4,3,5,5,5,5,1,3,5,6,5, , 
190151,190151.v01,1,2017,TOYOTA,,6,1,300, ,2, ,40, ,4,2,2,2, ,8, ,0,0,1,1,30, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,4,4,4,4,4,4,4,4,4,5,4, , 
190152,190152.v01,1,2018,TOYOTA,,6,1,500, ,2, , ,50,5,2,2,2, , ,5,1,1,0,1,5, ,1,0,0,0,0,0,0,0,0,0,0,0, ,5,4, , ,5,5,7,5,7,5,5,3,5,5,7,4, , 
190162,190162.v01,1,2018,TOYOTA,,6,1,150, ,2, ,25, ,5,3,2,2, ,2, ,1,1,0,2, , , , , , , , , , , , , , , ,5,4, , ,5,2,3,3,3,3,2,1,2,2,5,4, , 
190172,190172.v01,1,2017,HONDA,,6,3,375, ,1, , ,50,5,2,2,1, ,15, ,0,1,0,1,5, ,0,1,0,0,0,0,1,0,0,0,0,0, ,5,4, , ,5,5,7,5,7,7,5,1,2,2,4,4, , 
